"id","obsDay","currentMood","period","treatment"
4,58,10,"t",1
17,58,8,"b",0
39,59,7,"b",0
2,59,7,"t",1
48,59,7,"b",0
45,59,9,"b",0
47,59,10,NA,NA
44,59,2,"b",0
18,60,5,"b",0
19,60,9,"b",0
6,61,7,"t",1
33,61,5,"b",0
40,61,6,"b",0
22,61,8,NA,NA
53,61,9,NA,NA
4,61,10,"t",1
2,62,8,"t",1
47,62,1,NA,NA
45,62,5,"b",0
39,62,5,"b",0
19,63,10,"b",0
44,63,5,"b",0
18,63,10,"b",0
53,64,5,NA,NA
6,64,9,"t",1
22,64,9,NA,NA
4,64,10,"t",1
33,64,8,"b",0
40,64,8,"b",0
45,65,6,"b",0
19,66,9,"b",0
44,66,4,"b",0
18,66,10,"b",0
6,67,4,"t",1
4,67,9,"t",1
33,67,8,"b",0
40,67,2,"b",0
22,67,7,NA,NA
53,67,1,NA,NA
45,68,7,"b",0
18,69,9,"b",0
44,69,5,"b",0
19,69,10,"b",0
4,70,10,"t",1
33,70,8,"b",0
22,70,6,NA,NA
53,70,1,NA,NA
6,70,8,"t",1
40,70,3,"b",0
19,72,9,"b",0
45,71,6,"b",0
18,72,10,"b",0
22,73,5,NA,NA
33,73,9,"b",0
4,73,10,"t",1
53,73,5,NA,NA
40,73,8,"b",0
6,73,10,"t",1
44,72,4,"b",0
19,75,10,"b",0
45,75,6,"b",0
18,75,8,"b",0
33,76,8,"b",0
6,76,8,"t",1
22,76,7,NA,NA
53,76,7,NA,NA
40,76,10,"b",0
4,76,10,"t",1
44,77,6,"b",0
18,78,10,"b",0
19,78,10,"b",0
45,78,8,"b",0
53,79,1,NA,NA
40,79,9,"b",0
4,79,10,"t",1
6,79,10,"t",1
33,79,8,"b",0
22,79,8,NA,NA
44,80,3,"b",0
45,81,7,"b",0
19,81,9,"b",0
18,81,5,"b",0
4,82,10,"t",1
53,82,10,NA,NA
6,82,3,"t",1
33,82,7,"b",0
40,82,8,"b",0
44,83,7,"b",0
18,84,7,"b",0
19,84,10,"b",0
45,84,6,"b",0
4,85,10,"t",1
40,85,3,"b",0
53,85,3,NA,NA
6,85,9,"t",1
33,85,5,"b",0
44,86,4,"b",0
18,87,10,"b",0
19,87,10,"b",0
40,88,2,"b",0
53,88,10,NA,NA
33,88,4,"b",0
6,88,10,"t",1
4,88,10,"t",1
45,88,7,"b",0
44,89,1,"b",0
19,90,10,"b",0
